Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10nF","c_0402_nordic",71.2500,-22.2500,0.0000,top
"C2","100nF","c_0402_nordic",71.2500,-23.2500,0.0000,top
"C3","1uF","c_0402_nordic",71.2500,-24.2500,0.0000,top
"C4","10nF","c_0402_nordic",63.7500,18.2500,0.0000,top
"C5","100nF","c_0402_nordic",63.7500,19.2500,0.0000,top
"C6","1uF","c_0402_nordic",63.7500,20.2500,0.0000,top
"C7","1uF","c_0402_nordic",14.2500,-23.2000,-90.0000,top
"C8","220pF","c_0402_nordic",13.2500,-23.2000,-90.0000,top
"C9","10nF","c_0402_nordic",36.0000,-16.3663,90.0000,top
"C10","10nF","c_0402_nordic",25.7500,-16.3663,90.0000,top
"C11","10nF","c_0402_nordic",27.7500,-16.8662,180.0000,top
"C12","100nF","c_0402_nordic",27.7500,-15.8662,180.0000,top
"C13","1uF","c_0402_nordic",27.7500,-14.8662,180.0000,top
"C14","100nF","c_0402_nordic",25.5000,-14.1162,-90.0000,top
"C15","1uF","c_0402_nordic",40.3500,-15.6001,180.0000,top
"C16","2.2uF","c_0402_nordic",40.4500,-14.0001,180.0000,top
"C17","100nF","c_0201_nordic",45.4500,-11.7001,0.0000,top
"C18","10uF","c_0603_nordic",48.8500,-16.4501,-90.0000,top
"C19","10uF","c_0402_nordic",45.8250,-19.0651,180.0000,top
"C20","1nF","c_0201_nordic",49.6800,-17.7401,180.0000,top
"C21","10uF","c_0402_nordic",48.2500,-18.2501,0.0000,top
"C22","10uF","c_0402_nordic",49.9000,-12.5001,180.0000,top
"C23","10uF","c_0402_nordic",45.8000,-20.0000,180.0000,top
"C24","10uF","c_0603_nordic",48.8500,-14.1001,90.0000,top
"C25","1nF","c_0201_nordic",48.6000,-12.2501,-90.0000,top
"C26","1nF","c_0201_nordic",40.2500,-14.7501,180.0000,top
"C27","10uF","c_0402_nordic",43.8000,-18.9302,180.0000,top
"C28","10uF","c_0402_nordic",49.0000,-22.4501,-90.0000,top
"C29","10uF","c_0402_nordic",54.4500,-14.1501,0.0000,top
"C30","10uF","c_0402_nordic",52.8500,-19.7501,-90.0000,top
"C31","10uF","c_0402_nordic",43.7750,-19.8152,180.0000,top
"C32","100pF","c_0201_nordic",48.2000,-22.1001,-90.0000,top
"C33","100pF","c_0201_nordic",53.6000,-19.6001,-90.0000,top
"C34","100pF","c_0201_nordic",54.2500,-13.4001,0.0000,top
"C35","1uF","c_0402_nordic",40.0000,-16.5000,180.0000,top
"C36","10uF","c_0603_nordic",44.7500,49.1788,-90.0000,top
"C37","100nF","c_0402_nordic",43.5000,49.1788,-90.0000,top
"C38","220pF","c_0402_nordic",39.5000,53.1788,-90.0000,top
"C39","220pF","c_0402_nordic",43.5000,53.1788,-90.0000,top
"C40","100nF","c_0402_nordic",20.9000,-5.4000,-90.0000,top
"C41","1uF","c_0402_nordic",62.5000,-7.0000,180.0000,top
"C42","100nF","c_0402_nordic",-10.2500,-2.0000,-90.0000,top
"C43","10uF","c_0603_nordic",18.0000,-10.0000,90.0000,top
"C44","10uF","c_0603_nordic",23.0000,-10.2500,90.0000,top
