Row,Quantity Per PCB,References,Value,Datasheet,Footprint,Description,Manufacturer,Manufacturer Part Number,Supplier Part Number
1,3,C32 C33 C34,100pF,~,c_0201_nordic,100pF 25V C0G ±2% 0201 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Murata,GRM0335C1E101GA01D,
2,3,C8 C38 C39,220pF,~,c_0402_nordic,220pF 50V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,,,
3,3,C20 C25 C26,1nF,~,c_0201_nordic,1nF ±10% 25V Ceramic Capacitor X7R 0201,YAGEO,CC0201KRX7R8BB102,
4,5,C1 C4 C9 C10 C11,10nF,~,c_0402_nordic,10nF 50V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,,,
5,13,C2 C5 C12 C14 C17 C37 C40 C42 C48 C49 C50 C51 C52,100nF,~,c_0402_nordic,100nF 16V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS 100nF 10V X5R ±10% 0201 MLCC - HRE,HRE,CGA0201X5R104K100ET,
6,7,C3 C6 C7 C13 C15 C35 C41,1uF,~,c_0402_nordic,1uF 25V X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS 25V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Samsung Electro-Mechanics,CL05A105KA5NQNC,
7,1,C16,2.2uF,~,c_0402_nordic,2.2uF ±10% 16V Ceramic Capacitor X5R 0402,Samsung Electro-Mechanics,CL05A225KO5NQNC,
8,8,C18 C24 C36 C43 C44 C45 C46 C47,10uF,~,c_0603_nordic,10uF ±10% 10V Ceramic Capacitor X5R 0603 10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Samsung Electro-Mechanics,CL10A106KP8NNNC,
9,9,C19 C21 C22 C23 C27 C28 C29 C30 C31,10uF,~,c_0402_nordic,10uF 10V X5R ±20% 0402 MLCC,Samsung Electro-Mechanics,CL05A106MP5NUNC,
10,9,CN1 FPC1 J1 J2 J4 S1 TC2 U3 U8,SM04B-SRSS-TB,https://lcsc.com/product-detail/Others_JST-Sales-America__JST-Sales-America-SM04B-SRSS-TB-LF-SN_C160404.html,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/) Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/) Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/) Without 50mA 4mm 100MΩ 100000 Times 12V 160gf 3mm 2mm Round Button Standing paste SPST SMD Tactile Switches ROHS",JST Kyocera AVX XUNPU,,
11,3,D2 D3 D4,1N4001W,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2309251015_hongjiacheng-1N4001W_C18199085.pdf,D_SOD-123FL,Independent Type 1A 50V 1V@1.0A SOD-123FL Diodes - General Purpose ROHS,hongjiacheng,,
