Comment,Designator,Footprint,LCSC,Quantity
0,"R1,R13,R14,R15,R16,R17,R25,R3,R44,R50,R6",r_0402_nordic,C242160,11
046844713002846+_C5857733,FPC1,FPC-SMD_13P-P0.60_046844713002846-1,C5857733,1
10,"R4,R5",r_0402_nordic,C25077,2
100,"R28,R29,R31,R32,R45",r_0402_nordic,C25076,5
100k,"R19,R23,R37,R38,R39",r_0402_nordic,C25741,5
100nF,"C12,C14,C2,C37,C40,C42,C48,C49,C5,C50,C51,C52",c_0402_nordic,C1525,12
10nF,"C1,C10,C11,C4,C9",c_0402_nordic,C15195,5
10uF,"C18,C24,C36,C43,C44,C45,C46,C47",c_0603_nordic,C19702,8
10uF,"C19,C21,C22,C23,C27,C28,C29,C30,C31",c_0402_nordic,C315248,9
1Meg,"R18,R20,R24,R26,R27",r_0402_nordic,C26083,5
1N4001W,"D2,D3,D4",D_SOD-123FL,C18199085,3
1k,R46,r_0402_nordic,C11702,1
1nF,"C20,C25,C26",c_0201_nordic,C272854,3
1uF,"C13,C15,C3,C35,C41,C6,C7",c_0402_nordic,C52923,7
2.2uF,C16,c_0402_nordic,C170151,1
2.2uH,"L4,L5",l_0806_nordic,C337891,2
220pF,"C38,C39,C8",c_0402_nordic,C1530,3
300k,"R10,R11,R48",r_0402_nordic,C25774,3
30k,R52,r_0603_nordic,C22984,1
47,R2,r_0402_nordic,C25118,1
47k,R51,r_0402_nordic,C25792,1
5.1k,"R21,R22,R30,R34,R35,R36,R40,R41,R42,R7,R8",r_0402_nordic,C25905,11
ADS1115IDGS,U12,TSSOP-10_3x3mm_P0.5mm,C37593,1
AO3400A,Q1,Q_SOT-23,C20917,1
BLM18KG121TN1D,L2,L0603,C85831,1
BLM18PG471SN1D,"L10,L9",L0603,C97853,2
BLM21AG102SN1D,"L6,L7,L8",L0805,C85835,3
CXP0530-220M-AG(22UH),L1,IND-SMD_L5.7-W5.2,C7461351,1
"Connector, USB-TYPE-C-16P",J3,TYPE-C-SMD_HX-TYPE-C-16PIN,C2927039,1
DLM0NSN900HY2D,L3,FILTER-SMD_4P-L0.9-W0.7-P0.50-BL-CW,C882594,1
FPC 0.5-10P HYH2.0,U3,FPC-SMD_10P-P0.50_FPC-0.5-10P-HYH2.0,C6364659,1
LIS2DW12TR,U11,LGA-12_L2.0-W2.0-P0.50-BL,C189624,1
LMP91000SDX/NOPB,U14,WSON-14_L4.0-W4.0-P0.50-BL-EP-1,C2651584,1
MAX98357AETE+T,U7,TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5,C910544,1
MF-NSMF200-2,U10,F1206,C89656,1
MT9700-N,"U4,U6",SOT-23-5_L2.9-W1.6-P0.95-LS2.9-BL,C42441843,2
S3B-PH-SM4-TB,U8,CONN-SMD_S3B-PH-SM4-TB-LF-SN,C265101,1
SM04B-SRSS-TB,CN1,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,C160404,1
"SSM6N56FE,LM","Q3,Q4,Q5",ES6_L1.6-W1.2-P0.50-LS1.6-BL,C146449,3
"Tactile Button, 160gf",S1,SW_TS-1088-AR02016,C720477,1
USBLC6-2P6,D5,SOT-666-6_L1.6-W1.2-P0.50-LS1.6-BR,C15999,1
W25Q128JVPIQTR,U9,WSON-8_L6.0-W5.0-P1.27-BL-EP,C190862,1
XL-5050RGBC,LED2,LED-ARRAY-SMD_6P-L5.0-W5.0-TL-RD_3,C2843868,1
ZX-QC66-8.5TP,"SW1,SW2,SW3,SW4",KEY-SMD_4P-L6.0-W6.0-P4.50-LS8.6_H8.5,C7470159,4
ME54BS13_V1.0,U1,ME54BS13_V1.0,,1
MS21SF1_V1.0,M1,MS21SF1_V1.0,,1
TC2030-IDC,TC2,TC2030-IDC,,1
TestPoint_Probe,TP8,TestPoint_Pad_D1.0mm,,1
nPM1300-QEAA,U5,Nordic_QFN50P500X500X90-33N,,1
TestPoint_Probe,TP12,TestPoint_Pad_D1.0mm,,1
TestPoint_Probe,TP9,TestPoint_Pad_D1.0mm,,1
TestPoint_Probe,TP5,TestPoint_Pad_D1.0mm,,1
TestPoint_Probe,TP7,TestPoint_Pad_D1.0mm,,1
TestPoint_Probe,TP1,TestPoint_Pad_D1.0mm,,1
TestPoint_Probe,TP10,TestPoint_Pad_D1.0mm,,1
TestPoint_Probe,TP3,TestPoint_Pad_D1.0mm,,1
100pF,C34,c_0201_nordic,,1
Screw_Terminal_01x02,J2,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,,1
TestPoint_Probe,TP6,TestPoint_Pad_D1.0mm,,1
R,R33,l_0806_nordic,,1
TestPoint_Probe,TP2,TestPoint_Pad_D1.0mm,,1
100nF,C17,c_0201_nordic,,1
100pF,C33,c_0201_nordic,,1
TestPoint_Probe,TP11,TestPoint_Pad_D1.0mm,,1
AP3019AKTR,U2,SOT-23-6,,1
TestPoint_Probe,TP4,TestPoint_Pad_D1.0mm,,1
100pF,C32,c_0201_nordic,,1
TestPoint_Probe,TP13,TestPoint_Pad_D1.0mm,,1
OPA333xxDBV,U13,SOT-23-5,,1
Conn_01x04,J1,0294-0-15-80-06-80-10-0_co-d4,,1
Conn_01x03,J4,0364-0-15-80-13-80-10-0_o2-g2,,1
