Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10nF,c_0402_nordic,71.25,-22.25,0.0,top
C10,10nF,c_0402_nordic,25.75,-16.36625,90.0,top
C11,10nF,c_0402_nordic,27.75,-16.86624,180.0,top
C12,100nF,c_0402_nordic,27.75,-15.86625,180.0,top
C13,1uF,c_0402_nordic,27.75,-14.86624,180.0,top
C14,100nF,c_0402_nordic,25.5,-14.11625,-90.0,top
C15,1uF,c_0402_nordic,40.35,-15.600102,180.0,top
C16,2.2uF,c_0402_nordic,40.45,-14.000102,180.0,top
C17,100nF,c_0201_nordic,45.450005,-11.700102,0.0,top
C18,10uF,c_0603_nordic,48.85,-16.450112,-90.0,top
C19,10uF,c_0402_nordic,45.825,-19.06506,180.0,top
C2,100nF,c_0402_nordic,71.25,-23.25,0.0,top
C20,1nF,c_0201_nordic,49.679995,-17.740112,180.0,top
C21,10uF,c_0402_nordic,48.25,-18.250102,0.0,top
C22,10uF,c_0402_nordic,49.9,-12.500102,180.0,top
C23,10uF,c_0402_nordic,45.8,-20.0,180.0,top
C24,10uF,c_0603_nordic,48.85,-14.100112,90.0,top
C25,1nF,c_0201_nordic,48.6,-12.250107,-90.0,top
C26,1nF,c_0201_nordic,40.249995,-14.750102,180.0,top
C27,10uF,c_0402_nordic,43.8,-18.930242,180.0,top
C28,10uF,c_0402_nordic,49.0,-22.450102,-90.0,top
C29,10uF,c_0402_nordic,54.45,-14.150102,0.0,top
C3,1uF,c_0402_nordic,71.25,-24.25,0.0,top
C30,10uF,c_0402_nordic,52.85,-19.750102,-90.0,top
C31,10uF,c_0402_nordic,43.775,-19.815162,180.0,top
C32,100pF,c_0201_nordic,48.2,-22.100107,-90.0,top
C33,100pF,c_0201_nordic,53.6,-19.600107,-90.0,top
C34,100pF,c_0201_nordic,54.250005,-13.400102,0.0,top
C35,1uF,c_0402_nordic,39.99996,-16.800102,180.0,top
C36,10uF,c_0603_nordic,44.75,49.17875,-90.0,top
C37,100nF,c_0402_nordic,43.5,49.17875,-90.0,top
C38,220pF,c_0402_nordic,39.5,53.17875,-90.0,top
C39,220pF,c_0402_nordic,43.5,53.17875,-90.0,top
C4,10nF,c_0402_nordic,58.25,-11.75,-90.0,top
C40,100nF,c_0402_nordic,20.9,-5.4,-90.0,top
C41,1uF,c_0402_nordic,62.5,-7.0,180.0,top
C42,100nF,c_0402_nordic,-9.9,-1.01,90.0,top
C43,10uF,c_0603_nordic,18.0,-10.0,90.0,top
C44,10uF,c_0603_nordic,23.0,-10.25,90.0,top
C45,10uF,c_0603_nordic,47.475,55.64625,0.0,top
C46,10uF,c_0603_nordic,47.225,50.64625,0.0,top
C47,10uF,c_0603_nordic,43.125,8.855,90.0,top
C48,100nF,c_0402_nordic,44.125,8.855,90.0,top
C49,100nF,c_0402_nordic,52.5,24.25,90.0,top
C5,100nF,c_0402_nordic,59.25,-11.75,-90.0,top
C50,100nF,c_0402_nordic,56.75,17.6725,180.0,top
C51,100nF,c_0402_nordic,42.75,19.5,-90.0,top
C52,100nF,c_0402_nordic,56.75,23.9225,180.0,top
C6,1uF,c_0402_nordic,60.25,-11.75,-90.0,top
C7,1uF,c_0402_nordic,14.25,-23.2,-90.0,top
C8,220pF,c_0402_nordic,13.25,-23.2,-90.0,top
C9,10nF,c_0402_nordic,36.0,-16.36625,90.0,top
CN1,SM04B-SRSS-TB,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,-22.0625,0.25,-90.0,top
D2,1N4001W,D_SOD-123FL,22.4,-5.4,-90.0,top
D3,1N4001W,D_SOD-123FL,35.0,44.25,0.0,top
D4,1N4001W,D_SOD-123FL,35.0,41.9,0.0,top
D5,USBLC6-2P6,SOT-666-6_L1.6-W1.2-P0.50-LS1.6-BR,30.5,-13.36625,-90.0,top
FPC1,046844713002846+_C5857733,FPC-SMD_13P-P0.60_046844713002846-1,36.775,5.795,180.0,top
J1,Conn_01x04,0294-0-15-80-06-80-10-0_co-d4,45.25,31.546851,90.0,top
J2,Screw_Terminal_01x02,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,41.505,58.39625,180.0,top
J3,"Connector, USB-TYPE-C-16P",TYPE-C-SMD_HX-TYPE-C-16PIN,31.0,-21.26625,0.0,top
J4,Conn_01x03,0364-0-15-80-13-80-10-0_o2-g2,62.825,31.75,90.0,top
L1,CXP0530-220M-AG(22UH),IND-SMD_L5.7-W5.2,18.5,-19.45,90.0,top
L10,BLM18PG471SN1D,L0603,42.25,52.92875,90.0,top
L2,BLM18KG121TN1D,L0603,27.5,-13.61625,180.0,top
L3,DLM0NSN900HY2D,FILTER-SMD_4P-L0.9-W0.7-P0.50-BL-CW,30.5,-10.61625,0.0,top
L4,2.2uH,l_0806_nordic,51.35,-17.150102,90.0,top
L5,2.2uH,l_0806_nordic,50.95,-14.250102,180.0,top
L6,BLM21AG102SN1D,L0805,53.0,-11.850102,0.0,top
L7,BLM21AG102SN1D,L0805,49.55,-20.300102,180.0,top
L8,BLM21AG102SN1D,L0805,54.05,-16.950102,-90.0,top
L9,BLM18PG471SN1D,L0603,40.75,52.92875,90.0,top
LED2,XL-5050RGBC,LED-ARRAY-SMD_6P-L5.0-W5.0-TL-RD_3,30.0,57.75,180.0,top
M1,MS21SF1_V1.0,MS21SF1_V1.0,69.0,9.25,-90.0,top
Q1,AO3400A,Q_SOT-23,10.0,-19.45,180.0,top
Q3,"SSM6N56FE,LM",ES6_L1.6-W1.2-P0.50-LS1.6-BL,19.15,-6.4,-90.0,top
Q4,"SSM6N56FE,LM",ES6_L1.6-W1.2-P0.50-LS1.6-BL,34.25,53.75,-90.0,top
Q5,"SSM6N56FE,LM",ES6_L1.6-W1.2-P0.50-LS1.6-BL,35.75,59.01,180.0,top
R1,0,r_0402_nordic,15.25,-23.2,90.0,top
R10,300k,r_0402_nordic,43.0,-10.000102,-90.0,top
R11,300k,r_0402_nordic,42.25,-10.000102,-90.0,top
R12,R,r_0603_nordic,44.725,53.14625,-90.0,top
R13,0,r_0402_nordic,46.325,-21.315162,-90.0,top
R14,0,r_0402_nordic,44.275,-21.265162,-90.0,top
R15,0,r_0402_nordic,54.5,-19.900102,-90.0,top
R16,0,r_0402_nordic,47.4,-22.450102,-90.0,top
R17,0,r_0402_nordic,55.7,-12.150102,-90.0,top
R18,1Meg,r_0402_nordic,43.25,46.92875,180.0,top
R19,100k,r_0402_nordic,41.0,45.92875,0.0,top
R2,47,r_0402_nordic,13.25,-16.7,0.0,top
R20,1Meg,r_0402_nordic,17.65,-6.9,90.0,top
R21,5.1k,r_0402_nordic,-11.9,6.24,0.0,top
R22,5.1k,r_0402_nordic,23.25,-8.5,0.0,top
R23,100k,r_0402_nordic,-14.1,-23.25,0.0,top
R24,1Meg,r_0402_nordic,32.0,54.0,-90.0,top
R25,0,r_0402_nordic,-11.9,-3.01,0.0,top
R26,1Meg,r_0402_nordic,35.75,61.0,180.0,top
R27,1Meg,r_0402_nordic,35.5,57.25,0.0,top
R28,100,r_0402_nordic,34.75,56.25,0.0,top
R29,100,r_0402_nordic,35.24,55.25,0.0,top
R3,0,r_0402_nordic,12.25,-23.2,-90.0,top
R30,5.1k,r_0402_nordic,49.0,50.5,-90.0,top
R31,100,r_0402_nordic,34.0,57.75,90.0,top
R32,100,r_0402_nordic,34.0,59.75,90.0,top
R33,R,l_0806_nordic,19.15,-3.15,180.0,top
R34,5.1k,r_0402_nordic,38.825,1.925,0.0,top
R35,5.1k,r_0402_nordic,38.825,0.125,0.0,top
R36,5.1k,r_0402_nordic,38.825,-1.675,0.0,top
R37,100k,r_0402_nordic,47.698386,8.991027,90.0,top
R38,100k,r_0402_nordic,46.125,6.605,90.0,top
R39,100k,r_0402_nordic,45.375,6.605,90.0,top
R4,10,r_0402_nordic,10.75,-16.2,-90.0,top
R40,5.1k,r_0402_nordic,57.75,-19.45,0.0,top
R41,5.1k,r_0402_nordic,57.75,-21.25,0.0,top
R42,5.1k,r_0402_nordic,52.5,15.25,90.0,top
R43,0,r_0402_nordic,51.5,15.25,-90.0,top
R44,0,r_0402_nordic,52.0,16.5,180.0,top
R45,100,r_0402_nordic,55.75,22.9225,0.0,top
R46,1k,r_0402_nordic,55.75,16.6725,180.0,top
R47,0,r_0402_nordic,49.5,19.5,90.0,top
R48,300k,r_0402_nordic,58.75,18.1725,-90.0,top
R5,10,r_0402_nordic,11.75,-16.2,-90.0,top
R50,0,r_0402_nordic,49.5,21.0,0.0,top
R51,47k,r_0402_nordic,57.75,22.9225,0.0,top
R52,30k,r_0603_nordic,58.75,20.6725,-90.0,top
